Logging to results/training_logs/raw_runs/train_sft_raw_20260511_174855.log
{"batch_size": 4, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 4, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 2e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "gpt2", "output_dir": "models/sft", "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 201/2656 | loss 2.2763
train_step epoch 0 | step 202/2656 | loss 2.4274
train_step epoch 0 | step 203/2656 | loss 2.4919
train_step epoch 0 | step 204/2656 | loss 2.2857
train_step epoch 0 | step 205/2656 | loss 2.3042
train_step epoch 0 | step 206/2656 | loss 2.5402
train_step epoch 0 | step 207/2656 | loss 2.6031
train_step epoch 0 | step 208/2656 | loss 2.5859
train_step epoch 0 | step 209/2656 | loss 2.4426
train_step epoch 0 | step 210/2656 | loss 2.7288
train_step epoch 0 | step 211/2656 | loss 2.5406
train_step epoch 0 | step 212/2656 | loss 2.4602
train_step epoch 0 | step 213/2656 | loss 2.6470
train_step epoch 0 | step 214/2656 | loss 2.5728
train_step epoch 0 | step 215/2656 | loss 2.6802
train_step epoch 0 | step 216/2656 | loss 2.4286
train_step epoch 0 | step 217/2656 | loss 2.4892
train_step epoch 0 | step 218/2656 | loss 2.2501
train_step epoch 0 | step 219/2656 | loss 2.6620
train_step epoch 0 | step 220/2656 | loss 2.5482
train_step epoch 0 | step 221/2656 | loss 2.3450
train_step epoch 0 | step 222/2656 | loss 2.4839
train_step epoch 0 | step 223/2656 | loss 2.4744
train_step epoch 0 | step 224/2656 | loss 2.2194
train_step epoch 0 | step 225/2656 | loss 2.5562
train_step epoch 0 | step 226/2656 | loss 2.4436
train_step epoch 0 | step 227/2656 | loss 2.5429
train_step epoch 0 | step 228/2656 | loss 2.5218
train_step epoch 0 | step 229/2656 | loss 2.4365
train_step epoch 0 | step 230/2656 | loss 2.5765
train_step epoch 0 | step 231/2656 | loss 2.4460
train_step epoch 0 | step 232/2656 | loss 2.6231
train_step epoch 0 | step 233/2656 | loss 2.6186
train_step epoch 0 | step 234/2656 | loss 2.1871
train_step epoch 0 | step 235/2656 | loss 2.2390
train_step epoch 0 | step 236/2656 | loss 2.6180
train_step epoch 0 | step 237/2656 | loss 2.5622
train_step epoch 0 | step 238/2656 | loss 2.5710
train_step epoch 0 | step 239/2656 | loss 2.5892
train_step epoch 0 | step 240/2656 | loss 2.3029
train_step epoch 0 | step 241/2656 | loss 2.1975
train_step epoch 0 | step 242/2656 | loss 2.4857
train_step epoch 0 | step 243/2656 | loss 2.3122
train_step epoch 0 | step 244/2656 | loss 2.4664
train_step epoch 0 | step 245/2656 | loss 2.4713
train_step epoch 0 | step 246/2656 | loss 2.5274
train_step epoch 0 | step 247/2656 | loss 2.2301
train_step epoch 0 | step 248/2656 | loss 2.2514
train_step epoch 0 | step 249/2656 | loss 2.3149
train_step epoch 0 | step 250/2656 | loss 2.4723
train_step epoch 0 | step 251/2656 | loss 2.5682
train_step epoch 0 | step 252/2656 | loss 2.5516
train_step epoch 0 | step 253/2656 | loss 2.4090
train_step epoch 0 | step 254/2656 | loss 2.5384
train_step epoch 0 | step 255/2656 | loss 2.8045
train_step epoch 0 | step 256/2656 | loss 2.2460
train_step epoch 0 | step 257/2656 | loss 2.3121
train_step epoch 0 | step 258/2656 | loss 1.9915
train_step epoch 0 | step 259/2656 | loss 2.3478
train_step epoch 0 | step 260/2656 | loss 2.2552
train_step epoch 0 | step 261/2656 | loss 2.1860
train_step epoch 0 | step 262/2656 | loss 2.3125
train_step epoch 0 | step 263/2656 | loss 2.5145
train_step epoch 0 | step 264/2656 | loss 2.3668
train_step epoch 0 | step 265/2656 | loss 2.4706
train_step epoch 0 | step 266/2656 | loss 2.5983
train_step epoch 0 | step 267/2656 | loss 2.2961
train_step epoch 0 | step 268/2656 | loss 2.5364
train_step epoch 0 | step 269/2656 | loss 2.3752
train_step epoch 0 | step 270/2656 | loss 2.3277
train_step epoch 0 | step 271/2656 | loss 2.3736
train_step epoch 0 | step 272/2656 | loss 2.3106
train_step epoch 0 | step 273/2656 | loss 2.1319
train_step epoch 0 | step 274/2656 | loss 2.3894
train_step epoch 0 | step 275/2656 | loss 2.3786
train_step epoch 0 | step 276/2656 | loss 2.5470
train_step epoch 0 | step 277/2656 | loss 2.4078
train_step epoch 0 | step 278/2656 | loss 2.5561
train_step epoch 0 | step 279/2656 | loss 2.2429
train_step epoch 0 | step 280/2656 | loss 2.3744
train_step epoch 0 | step 281/2656 | loss 2.4699
train_step epoch 0 | step 282/2656 | loss 2.4793
train_step epoch 0 | step 283/2656 | loss 2.6313
train_step epoch 0 | step 284/2656 | loss 2.4994
train_step epoch 0 | step 285/2656 | loss 2.5669
train_step epoch 0 | step 286/2656 | loss 2.3714
train_step epoch 0 | step 287/2656 | loss 2.7840
train_step epoch 0 | step 288/2656 | loss 2.4980
train_step epoch 0 | step 289/2656 | loss 2.2793
train_step epoch 0 | step 290/2656 | loss 2.6601
train_step epoch 0 | step 291/2656 | loss 2.5587
train_step epoch 0 | step 292/2656 | loss 2.4158
train_step epoch 0 | step 293/2656 | loss 2.4658
train_step epoch 0 | step 294/2656 | loss 2.6715
train_step epoch 0 | step 295/2656 | loss 2.4733
train_step epoch 0 | step 296/2656 | loss 2.2285
train_step epoch 0 | step 297/2656 | loss 2.3993
train_step epoch 0 | step 298/2656 | loss 2.2844
train_step epoch 0 | step 299/2656 | loss 2.4169
train_step epoch 0 | step 300/2656 | loss 2.0894
train_step epoch 0 | step 301/2656 | loss 2.4089
train_step epoch 0 | step 302/2656 | loss 2.4045
train_step epoch 0 | step 303/2656 | loss 2.3656
train_step epoch 0 | step 304/2656 | loss 2.4606
train_step epoch 0 | step 305/2656 | loss 2.5130
train_step epoch 0 | step 306/2656 | loss 2.3569
train_step epoch 0 | step 307/2656 | loss 2.4905
train_step epoch 0 | step 308/2656 | loss 2.3479
train_step epoch 0 | step 309/2656 | loss 2.3294
train_step epoch 0 | step 310/2656 | loss 2.3826
train_step epoch 0 | step 311/2656 | loss 2.4315
train_step epoch 0 | step 312/2656 | loss 2.4018
train_step epoch 0 | step 313/2656 | loss 2.5678
train_step epoch 0 | step 314/2656 | loss 2.4823
train_step epoch 0 | step 315/2656 | loss 2.5849
train_step epoch 0 | step 316/2656 | loss 2.4231
train_step epoch 0 | step 317/2656 | loss 2.4092
train_step epoch 0 | step 318/2656 | loss 2.2131
train_step epoch 0 | step 319/2656 | loss 2.1001
train_step epoch 0 | step 320/2656 | loss 2.3667
train_step epoch 0 | step 321/2656 | loss 2.5274
train_step epoch 0 | step 322/2656 | loss 2.5264
train_step epoch 0 | step 323/2656 | loss 2.3745
train_step epoch 0 | step 324/2656 | loss 2.3729
train_step epoch 0 | step 325/2656 | loss 2.3677
train_step epoch 0 | step 326/2656 | loss 2.3338
train_step epoch 0 | step 327/2656 | loss 2.4430
