Logging to results/training_logs/raw_runs/train_dpo_raw_20260511_180032.log
{"batch_size": 2, "beta": 0.1, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 8, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 1e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "/content/drive/MyDrive/CS5788/models/sft", "output_dir": "models/dpo", "ref_model_name": null, "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 158/2656 | loss 0.5590 | reward_margin 0.4312
train_step epoch 0 | step 159/2656 | loss 0.6855 | reward_margin 0.1921
train_step epoch 0 | step 160/2656 | loss 0.7734 | reward_margin 0.1214
train_step epoch 0 | step 161/2656 | loss 0.6621 | reward_margin 0.4030
train_step epoch 0 | step 162/2656 | loss 0.6926 | reward_margin 0.1034
train_step epoch 0 | step 163/2656 | loss 0.7843 | reward_margin -0.0436
train_step epoch 0 | step 164/2656 | loss 0.6607 | reward_margin 0.3410
train_step epoch 0 | step 165/2656 | loss 0.6317 | reward_margin 0.3201
train_step epoch 0 | step 166/2656 | loss 0.7204 | reward_margin 0.2201
train_step epoch 0 | step 167/2656 | loss 0.6010 | reward_margin 0.5343
train_step epoch 0 | step 168/2656 | loss 0.8963 | reward_margin 0.0192
train_step epoch 0 | step 169/2656 | loss 0.6173 | reward_margin 0.3467
train_step epoch 0 | step 170/2656 | loss 0.5297 | reward_margin 0.5670
train_step epoch 0 | step 171/2656 | loss 0.6751 | reward_margin 0.4831
train_step epoch 0 | step 172/2656 | loss 0.7517 | reward_margin 0.3489
train_step epoch 0 | step 173/2656 | loss 0.5527 | reward_margin 0.5256
train_step epoch 0 | step 174/2656 | loss 0.7042 | reward_margin 0.0868
train_step epoch 0 | step 175/2656 | loss 0.5765 | reward_margin 0.6227
train_step epoch 0 | step 176/2656 | loss 0.5625 | reward_margin 0.4099
train_step epoch 0 | step 177/2656 | loss 0.7834 | reward_margin 0.0132
train_step epoch 0 | step 178/2656 | loss 0.4296 | reward_margin 0.7710
train_step epoch 0 | step 179/2656 | loss 0.5745 | reward_margin 0.4291
train_step epoch 0 | step 180/2656 | loss 0.9039 | reward_margin -0.1750
train_step epoch 0 | step 181/2656 | loss 0.6034 | reward_margin 0.3270
train_step epoch 0 | step 182/2656 | loss 0.5315 | reward_margin 0.6899
train_step epoch 0 | step 183/2656 | loss 0.6781 | reward_margin 0.3941
train_step epoch 0 | step 184/2656 | loss 0.5261 | reward_margin 0.5681
train_step epoch 0 | step 185/2656 | loss 0.6368 | reward_margin 0.3266
train_step epoch 0 | step 186/2656 | loss 0.6583 | reward_margin 0.2569
train_step epoch 0 | step 187/2656 | loss 0.6632 | reward_margin 0.4119
train_step epoch 0 | step 188/2656 | loss 0.8477 | reward_margin -0.1058
train_step epoch 0 | step 189/2656 | loss 0.6541 | reward_margin 0.1272
train_step epoch 0 | step 190/2656 | loss 0.7144 | reward_margin 0.2158
train_step epoch 0 | step 191/2656 | loss 0.7291 | reward_margin 0.2381
train_step epoch 0 | step 192/2656 | loss 0.6583 | reward_margin 0.1182
train_step epoch 0 | step 193/2656 | loss 0.6202 | reward_margin 0.4165
train_step epoch 0 | step 194/2656 | loss 0.5689 | reward_margin 0.4141
train_step epoch 0 | step 195/2656 | loss 0.6866 | reward_margin 0.3237
train_step epoch 0 | step 196/2656 | loss 0.7805 | reward_margin 0.1457
train_step epoch 0 | step 197/2656 | loss 0.6930 | reward_margin 0.1988
train_step epoch 0 | step 198/2656 | loss 0.5759 | reward_margin 0.5404
train_step epoch 0 | step 199/2656 | loss 0.7950 | reward_margin 0.0385
train_step epoch 0 | step 200/2656 | loss 0.6128 | reward_margin 0.3357
train_step epoch 0 | step 201/2656 | loss 0.4397 | reward_margin 0.9456
train_step epoch 0 | step 202/2656 | loss 0.5601 | reward_margin 0.5145
train_step epoch 0 | step 203/2656 | loss 0.7437 | reward_margin 0.1364
train_step epoch 0 | step 204/2656 | loss 0.7675 | reward_margin 0.0424
train_step epoch 0 | step 205/2656 | loss 0.7663 | reward_margin 0.2614
train_step epoch 0 | step 206/2656 | loss 1.0853 | reward_margin -0.3366
train_step epoch 0 | step 207/2656 | loss 0.6492 | reward_margin 0.2015
train_step epoch 0 | step 208/2656 | loss 0.5990 | reward_margin 0.4242
train_step epoch 0 | step 209/2656 | loss 0.8235 | reward_margin 0.0045
train_step epoch 0 | step 210/2656 | loss 0.4969 | reward_margin 0.5454
train_step epoch 0 | step 211/2656 | loss 0.7676 | reward_margin 0.0886
train_step epoch 0 | step 212/2656 | loss 0.7224 | reward_margin 0.2072
train_step epoch 0 | step 213/2656 | loss 0.6061 | reward_margin 0.5061
train_step epoch 0 | step 214/2656 | loss 0.5728 | reward_margin 0.6939
train_step epoch 0 | step 215/2656 | loss 0.8050 | reward_margin -0.1298
train_step epoch 0 | step 216/2656 | loss 0.8510 | reward_margin -0.1530
train_step epoch 0 | step 217/2656 | loss 0.7114 | reward_margin 0.1843
train_step epoch 0 | step 218/2656 | loss 0.7797 | reward_margin -0.0629
train_step epoch 0 | step 219/2656 | loss 0.7822 | reward_margin 0.1031
train_step epoch 0 | step 220/2656 | loss 0.6132 | reward_margin 0.4075
train_step epoch 0 | step 221/2656 | loss 0.6237 | reward_margin 0.3729
train_step epoch 0 | step 222/2656 | loss 0.5699 | reward_margin 0.3643
train_step epoch 0 | step 223/2656 | loss 0.6487 | reward_margin 0.3180
train_step epoch 0 | step 224/2656 | loss 0.5990 | reward_margin 0.3687
train_step epoch 0 | step 225/2656 | loss 0.5560 | reward_margin 0.4683
train_step epoch 0 | step 226/2656 | loss 0.6020 | reward_margin 0.3768
train_step epoch 0 | step 227/2656 | loss 0.9067 | reward_margin -0.1673
train_step epoch 0 | step 228/2656 | loss 0.6949 | reward_margin 0.1602
train_step epoch 0 | step 229/2656 | loss 0.5218 | reward_margin 0.9006
train_step epoch 0 | step 230/2656 | loss 0.7703 | reward_margin -0.0439
train_step epoch 0 | step 231/2656 | loss 0.6376 | reward_margin 0.2906
train_step epoch 0 | step 232/2656 | loss 0.6871 | reward_margin 0.2964
train_step epoch 0 | step 233/2656 | loss 0.4801 | reward_margin 0.7046
train_step epoch 0 | step 234/2656 | loss 0.7062 | reward_margin 0.1184
train_step epoch 0 | step 235/2656 | loss 0.6061 | reward_margin 0.4456
train_step epoch 0 | step 236/2656 | loss 0.7852 | reward_margin -0.0917
train_step epoch 0 | step 237/2656 | loss 0.6953 | reward_margin 0.4200
train_step epoch 0 | step 238/2656 | loss 0.7716 | reward_margin 0.1363
train_step epoch 0 | step 239/2656 | loss 0.9461 | reward_margin -0.3156
train_step epoch 0 | step 240/2656 | loss 0.5867 | reward_margin 0.5020
train_step epoch 0 | step 241/2656 | loss 0.7590 | reward_margin 0.0142
train_step epoch 0 | step 242/2656 | loss 0.5834 | reward_margin 0.6000
train_step epoch 0 | step 243/2656 | loss 0.4878 | reward_margin 0.6968
train_step epoch 0 | step 244/2656 | loss 0.7749 | reward_margin 0.1883
train_step epoch 0 | step 245/2656 | loss 0.5786 | reward_margin 0.3462
train_step epoch 0 | step 246/2656 | loss 0.7380 | reward_margin 0.0999
train_step epoch 0 | step 247/2656 | loss 0.6149 | reward_margin 0.2960
train_step epoch 0 | step 248/2656 | loss 0.6188 | reward_margin 0.2039
train_step epoch 0 | step 249/2656 | loss 0.6516 | reward_margin 0.4577
train_step epoch 0 | step 250/2656 | loss 0.7697 | reward_margin -0.0818
train_step epoch 0 | step 251/2656 | loss 0.6458 | reward_margin 0.2276
train_step epoch 0 | step 252/2656 | loss 0.5921 | reward_margin 0.3784
train_step epoch 0 | step 253/2656 | loss 0.6883 | reward_margin 0.1226
train_step epoch 0 | step 254/2656 | loss 0.6740 | reward_margin 0.3037
train_step epoch 0 | step 255/2656 | loss 0.9373 | reward_margin -0.2450
train_step epoch 0 | step 256/2656 | loss 0.5598 | reward_margin 0.7179
train_step epoch 0 | step 257/2656 | loss 0.7815 | reward_margin 0.0133
train_step epoch 0 | step 258/2656 | loss 0.8431 | reward_margin 0.1546
train_step epoch 0 | step 259/2656 | loss 0.7795 | reward_margin 0.1340
train_step epoch 0 | step 260/2656 | loss 0.5146 | reward_margin 0.4691
train_step epoch 0 | step 261/2656 | loss 0.6099 | reward_margin 0.3069
train_step epoch 0 | step 262/2656 | loss 0.6469 | reward_margin 0.3232
train_step epoch 0 | step 263/2656 | loss 0.7619 | reward_margin -0.0833
train_step epoch 0 | step 264/2656 | loss 0.7272 | reward_margin 0.0727
train_step epoch 0 | step 265/2656 | loss 0.5656 | reward_margin 0.4611
train_step epoch 0 | step 266/2656 | loss 0.7661 | reward_margin 0.1127
train_step epoch 0 | step 267/2656 | loss 0.6185 | reward_margin 0.4296
train_step epoch 0 | step 268/2656 | loss 0.7674 | reward_margin -0.0415
train_step epoch 0 | step 269/2656 | loss 0.5143 | reward_margin 0.6514
train_step epoch 0 | step 270/2656 | loss 0.5934 | reward_margin 0.6959
train_step epoch 0 | step 271/2656 | loss 0.7142 | reward_margin 0.1242
train_step epoch 0 | step 272/2656 | loss 0.5669 | reward_margin 0.3800
train_step epoch 0 | step 273/2656 | loss 0.4212 | reward_margin 1.1225
train_step epoch 0 | step 274/2656 | loss 0.6817 | reward_margin 0.2355
train_step epoch 0 | step 275/2656 | loss 0.5709 | reward_margin 0.5526
train_step epoch 0 | step 276/2656 | loss 0.7328 | reward_margin 0.2075
train_step epoch 0 | step 277/2656 | loss 0.6881 | reward_margin 0.1491
train_step epoch 0 | step 278/2656 | loss 0.8306 | reward_margin 0.4019
train_step epoch 0 | step 279/2656 | loss 0.7108 | reward_margin 0.2179
train_step epoch 0 | step 280/2656 | loss 0.7308 | reward_margin 0.0500
train_step epoch 0 | step 281/2656 | loss 0.8614 | reward_margin -0.1637
train_step epoch 0 | step 282/2656 | loss 0.5195 | reward_margin 0.7007
train_step epoch 0 | step 283/2656 | loss 0.6102 | reward_margin 0.3555
train_step epoch 0 | step 284/2656 | loss 0.5936 | reward_margin 0.3281
